2018-01-26 10:48:14.977 INFO  DefaultFactory Logging to 'C:\Users\Vitali_Pimenau\Documents\Visual Studio 2017\Projects\EPAMWCF\WcfServiceApp\App_Data\' with level Info
2018-01-26 10:48:15.232 INFO  NServiceBus.LicenseManager Selected active license from HKEY_CURRENT_USER\SOFTWARE\ParticularSoftware
License Expiration: 18 February 2018

2018-01-26 10:48:15.334 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'MINSK\Vitali_Pimenau' to group 'Performance Monitor Users' because the user is already in group.
2018-01-26 10:48:15.381 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-01-26 10:48:15.385 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-01-26 10:48:15.392 WARN  NServiceBus.QueuePermissions Queue [private$\WCFService.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-01-26 10:48:15.413 WARN  NServiceBus.QueuePermissions Queue [private$\WCFService.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-01-26 10:48:15.429 WARN  NServiceBus.QueuePermissions Queue [private$\WCFService.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-01-26 10:48:15.445 WARN  NServiceBus.QueuePermissions Queue [private$\WCFService] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-01-26 10:48:15.471 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-01-26 10:48:15.484 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-01-26 10:48:15.498 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-01-26 10:48:15.672 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2018-01-26 10:48:15.732 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
